"source","target"
42454,87632
19588,132183
37834,129897
45,111800
53158,99133
41692,86687
42969,117791
45815,153467
41815,127493
37764,115961
61812,150364
42991,151165
62994,132522
50520,104558
45072,128182
46968,126271
66030,75762
66564,96709
58519,89411
59209,79356
59488,113558
59827,153759
60930,70294
68446,82400
68642,62827
55331,117922
55955,140669
56888,103161
62371,91583
62827,91286
62857,134786
62880,120151
59671,133892
21383,95718
37474,89053
55280,87443
45257,112146
62611,94349
69034,125292
70179,96615
65784,112876
65877,60093
66251,109449
66297,112051
38018,92074
67271,96569
67375,151322
68158,81520
63463,86425
50401,76176
69123,102553
69550,120093
72735,150238
73676,82873
73869,117922
74939,133696
75279,123024
50680,102198
75745,89983
76390,90711
54619,154343
47830,124901
65413,138432
66113,126601
49544,139246
67371,134154
67725,
68445,154202
69047,141180
70081,102709
70123,74201
75470,137393
75573,106387
75679,94117
75691,117624
53110,128271
54900,124273
60241,91057
78630,150318
79336,126328
79356,141140
79892,79893
70176,108957
70857,79356
76598,112444
77166,108295
56909,121380
80757,100463
80823,138679
73052,125615
73114,100629
73138,91569
73396,97488
73942,120507
74607,108827
74713,127308
78891,89983
79022,81531
56417,113013
72473,121120
72496,95998
72524,95401
73769,133250
82970,125444
83031,67291
62297,127355
63951,115469
64132,55986
76815,107494
59426,103565
60311,140424
74152,101800
34272,119288
79607,121120
83477,114197
83877,83831
79697,126736
63800,89983
63001,98731
77010,95339
77177,93181
77366,73673
78027,91888
78689,95606
79306,105137
80040,134786
80193,125816
80388,123181
81352,93645
66347,103288
66538,153467
81531,105697
81986,139075
58223,92947
84905,109335
85448,137393
85752,152142
66813,94883
79723,137381
80545,153420
70294,140145
69791,59426
70090,150876
82826,128090
83843,124222
83987,138457
83042,120093
86027,104443
86100,121014
86482,117910
84250,139212
84644,121092
84698,125816
84947,45
85047,152357
85159,100130
73425,127010
73949,119622
72009,95023
72463,154202
72998,
73091,122478
82955,127402
83391,109406
39934,128271
83915,152740
85604,96615
86742,115469
87116,124520
87627,100458
87647,123593
74201,127436
75321,112525
75500,107164
76781,93087
83770,84633
83826,109449
84396,98343
84690,150521
73577,121120
75401,137922
75617,133572
75762,124278
75794,120621
73476,150521
73547,105824
73673,126162
74034,123214
75209,121598
75377,102844
75715,46351
84650,90362
85129,63254
85147,113608
85193,125961
89025,126258
89223,55955
89495,124233
89539,87766
76610,103565
76835,77441
77112,119723
85574,112009
85681,100216
86097,55986
86308,82970
86598,98731
86605,77240
86836,89983
89626,121380
90024,93402
90032,121014
90242,73770
90299,103742
90332,81520
90635,54900
90648,138432
90691,153236
90801,79893
90876,122968
87821,95828
88165,86680
88483,136631
75850,133889
77240,28077
85420,98637
36201,150364
77966,128907
87391,114141
87833,123826
88094,88047
91365,127060
91675,137853
91677,110255
92207,96163
67262,68445
68203,127756
77441,125283
78930,95828
78965,132325
79775,129303
92802,105062
93298,154082
81277,96294
81797,87179
88314,91453
88625,91286
89113,128345
86121,126227
86322,102727
86397,109396
86625,136639
48806,55917
78855,128702
78936,68542
79650,95881
81983,127012
82004,96216
93613,125816
93653,110339
93756,94107
93860,133047
94010,134786
94037,85438
94115,103159
89352,102120
89608,102142
89983,100458
90443,88968
90872,150798
90888,90436
90892,92643
91016,96437
89660,96574
89964,100458
90122,152127
90283,91776
90398,89450
83480,115911
83637,89983
83778,129483
91066,95759
91456,127060
91553,88292
91625,91177
91854,119772
92074,98157
92413,151952
80646,100629
80817,92980
81068,111605
87193,102558
87762,93451
87804,112680
87861,97924
88198,103742
88206,90711
90762,55986
90793,101711
90833,107503
91034,126805
91164,140872
91207,72688
91374,62606
91583,78845
92030,98202
92231,91901
92244,121120
92262,56417
94349,103528
94427,88198
94438,109074
94694,107019
94791,113395
95010,128610
84937,95881
85651,123164
85757,131476
85802,150318
92753,136152
93175,94813
93284,91569
93294,99133
93417,110180
93447,98327
93777,77966
85962,81826
86264,93087
86391,104403
86409,113373
86425,119962
86665,95426
87220,134104
81573,114141
88126,113468
88339,91197
88243,140981
88261,150941
88491,132003
88634,87232
36700,96395
83358,91246
83554,76928
93911,105146
94120,85758
94351,128729
94583,130047
94735,54900
92812,77493
92906,68542
93128,88339
93227,88198
88591,140669
89053,139492
89121,99184
89542,79898
89670,124233
89692,111337
90027,125450
90099,128422
90104,87627
90252,99430
95134,117910
95416,97256
95637,127541
95776,98226
95998,140145
96225,106427
84633,126805
84829,84955
84953,102575
85161,123289
85438,126162
83568,81169
83957,99398
84090,96132
84370,123547
84693,129943
84695,90711
93707,80839
93767,131878
94017,152220
94041,101235
94239,91246
94623,
95017,107494
95060,67252
95076,137393
95362,63254
95375,46351
95566,95426
95634,99200
95712,127823
95773,126765
89500,140384
90166,92962
90296,114376
90303,93235
90595,107503
90639,90749
95064,79696
95142,120189
95607,122559
95626,120507
95647,132521
95701,113409
95868,105324
